"filename", "language", "TypeScript", "JSON", "JSON with Comments", "PostCSS", "Markdown", "JavaScript", "HTML", "TypeScript JSX", "XML", "comment", "blank", "total"
"c:\Users\robertsd\source\repos\STLAT-1\src\pages\VerifyEmailPage\VerifyEmailPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 17, 125
"c:\Users\robertsd\source\repos\STLAT-1\src\services\aiSurveyService.ts", "TypeScript", 136, 0, 0, 0, 0, 0, 0, 0, 0, 8, 25, 169
"c:\Users\robertsd\source\repos\STLAT-1\src\services\surveyHistoryService.ts", "TypeScript", 86, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 102
"c:\Users\robertsd\source\repos\STLAT-1\src\styles\FormPage.css", "PostCSS", 0, 0, 0, 194, 0, 0, 0, 0, 0, 10, 40, 244
"c:\Users\robertsd\source\repos\STLAT-1\src\translations\index.ts", "TypeScript", 268, 0, 0, 0, 0, 0, 0, 0, 0, 39, 4, 311
"c:\Users\robertsd\source\repos\STLAT-1\src\types\survey.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 55
"c:\Users\robertsd\source\repos\STLAT-1\src\utils\adaptiveSwap.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 15, 11, 87
"c:\Users\robertsd\source\repos\STLAT-1\src\utils\firebaseErrors.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 41
"c:\Users\robertsd\source\repos\STLAT-1\src\utils\generateUsername.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 57
"c:\Users\robertsd\source\repos\STLAT-1\src\utils\passwordValidation.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\robertsd\source\repos\STLAT-1\src\utils\profileHelpers.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 39
"c:\Users\robertsd\source\repos\STLAT-1\src\utils\seedQuestions.ts", "TypeScript", 678, 0, 0, 0, 0, 0, 0, 0, 0, 62, 12, 752
"c:\Users\robertsd\source\repos\STLAT-1\src\vite-env.d.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 15
"c:\Users\robertsd\source\repos\STLAT-1\tsconfig.app.json", "JSON", 0, 24, 0, 0, 0, 0, 0, 0, 0, 2, 3, 29
"c:\Users\robertsd\source\repos\STLAT-1\tsconfig.json", "JSON with Comments", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\robertsd\source\repos\STLAT-1\tsconfig.node.json", "JSON", 0, 22, 0, 0, 0, 0, 0, 0, 0, 2, 3, 27
"c:\Users\robertsd\source\repos\STLAT-1\vite.config.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 1464, 4425, 7, 1768, 60, 22, 16, 1828, 2, 314, 752, 10658
